登録番号,重み付き和,重み付き二乗和,重み計,基準日
4003,4.0325485745,0.6744604995,27.0185025475,2026-09-15
4004,4.2910382729,0.8171857855,25.0957889362,2026-09-15
4006,4.8079296667,0.9060070407,27.5442295372,2026-09-15
4007,2.9358788637,0.43185968,24.4361156706,2026-09-15
4009,3.6165608763,0.5195160035,28.3874641177,2026-09-15
4010,3.1001225403,0.5868291704,19.7272069176,2026-09-15
4011,3.5748544059,0.6181579782,25.002872851,2026-09-15
4012,4.1404854362,0.6811387029,29.6310479428,2026-09-15
4013,4.3279868586,0.705562809,32.2328604028,2026-09-15
4014,4.8178509985,0.982250085,26.2971209273,2026-09-15
4015,4.8128246479,0.8760766782,29.7015878433,2026-09-15
4016,4.3986051302,0.8112925452,28.8551363416,2026-09-15
4017,3.9661869158,0.7271709458,23.2561427148,2026-09-15
4019,4.4503225336,0.8066209471,28.0390845651,2026-09-15
4020,3.9957857166,0.7835051088,23.2392628194,2026-09-15
4022,3.7568841489,0.594667786,27.5317905018,2026-09-15
4023,4.4991758574,0.8942998004,25.3285795968,2026-09-15
4024,5.5409072342,0.9610191475,36.027783563,2026-09-15
4025,4.3819907449,0.8350388144,26.1199413076,2026-09-15
4027,2.7944679591,0.5440474268,16.8209800642,2026-09-15
4028,4.3515645327,0.7776646095,27.4818605573,2026-09-15
4030,4.5489050411,0.7145426035,33.4256585328,2026-09-15
4031,4.4589851841,0.8360381181,27.7764296644,2026-09-15
4033,4.3833077707,0.6986382637,31.3634902946,2026-09-15
4034,5.0860692434,1.0469817969,27.606587449,2026-09-15
4035,5.0958928855,1.1399317255,26.5096405389,2026-09-15
4036,3.5197425252,0.5927196143,24.1279362228,2026-09-15
4039,4.1668805257,0.7505662054,27.1298525894,2026-09-15
4040,4.5454219189,0.7547537843,32.0425824062,2026-09-15
4041,5.6378456822,1.4578478317,25.3281907526,2026-09-15
4042,3.6401674784,0.7235605246,20.1006252622,2026-09-15
4043,5.5307495481,1.0275655546,34.9846719125,2026-09-15
4044,3.4053876066,0.5145822032,26.6277790184,2026-09-15
4045,4.3703847669,0.8064098715,27.1679393864,2026-09-15
4047,4.1203048814,0.8686979626,21.6352819423,2026-09-15
4049,3.6418253238,0.6274994342,25.9906678105,2026-09-15
4050,4.4832525734,0.8060009763,28.6827727166,2026-09-15
4051,1.8391644998,0.3959196595,9.6360349173,2026-09-15
4052,2.9563230376,0.5726085328,18.119943058,2026-09-15
4053,4.211198142,0.7973051514,25.7950519588,2026-09-15
4054,3.2117886838,0.6377715924,20.6706886545,2026-09-15
4055,4.3677618032,0.7795950557,29.1536823894,2026-09-15
4056,0.0012784916,0.0002638007,0.0074773525,2026-09-15
4057,4.3884536558,0.7524089767,28.133048276,2026-09-15
4058,5.6955518126,1.1186813842,32.1280218077,2026-09-15
4059,1.3249020746,0.2904701933,7.1928165569,2026-09-15
4060,4.522542357,0.84253863,27.6883263683,2026-09-15
4061,4.4400758919,0.7009784161,31.7924301615,2026-09-15
4062,0.7930212433,0.170053686,4.0271451918,2026-09-15
