レースコード,レース日,レース場コード,レース回,1枠_登録番号,1枠_推定ST,1枠_推定ST_p25,1枠_推定ST_p75,2枠_登録番号,2枠_推定ST,2枠_推定ST_p25,2枠_推定ST_p75,3枠_登録番号,3枠_推定ST,3枠_推定ST_p25,3枠_推定ST_p75,4枠_登録番号,4枠_推定ST,4枠_推定ST_p25,4枠_推定ST_p75,5枠_登録番号,5枠_推定ST,5枠_推定ST_p25,5枠_推定ST_p75,6枠_登録番号,6枠_推定ST,6枠_推定ST_p25,6枠_推定ST_p75
202609161104,2026-09-16,11,04R,4766,0.1269,0.0878,0.1661,5278,0.1585,0.1145,0.2025,4186,0.1434,0.1004,0.1864,5032,0.1426,0.1007,0.1846,4012,0.1413,0.1027,0.18,5410,0.1759,0.1377,0.2141
202609161105,2026-09-16,11,05R,5011,0.1458,0.1031,0.1884,4983,0.164,0.1261,0.2019,4111,0.1442,0.1017,0.1866,4974,0.1684,0.135,0.2018,3797,0.1943,0.1574,0.2313,3518,0.2097,0.1548,0.2646
202609161106,2026-09-16,11,06R,4124,0.1677,0.1267,0.2087,4108,0.1286,0.0883,0.169,4380,0.1482,0.0993,0.197,4747,0.1745,0.1365,0.2126,3918,0.1644,0.1271,0.2017,4183,0.211,0.1693,0.2527
202609161107,2026-09-16,11,07R,5055,0.1303,0.0879,0.1727,4216,0.1479,0.1099,0.186,3905,0.1352,0.0982,0.1722,4957,0.1524,0.1089,0.1959,3793,0.1491,0.1005,0.1977,5472,0.2516,0.2016,0.3015
202609161108,2026-09-16,11,08R,4821,0.1588,0.1214,0.1963,3435,0.1478,0.1082,0.1875,4012,0.1354,0.0968,0.1741,4835,0.1434,0.107,0.1798,4486,0.1734,0.129,0.2178,3454,0.1572,0.1209,0.1935
202609161109,2026-09-16,11,09R,5132,0.1355,0.0984,0.1725,3896,0.1589,0.1166,0.2012,4974,0.1654,0.132,0.1988,4660,0.1828,0.1341,0.2316,4766,0.1343,0.0952,0.1735,5170,0.1555,0.1167,0.1942
202609161110,2026-09-16,11,10R,4786,0.1315,0.0874,0.1755,5011,0.1533,0.1106,0.1959,4108,0.1226,0.0823,0.163,4116,0.2059,0.1645,0.2474,4254,0.1479,0.1085,0.1874,4894,0.1851,0.1458,0.2245
202609161111,2026-09-16,11,11R,3918,0.157,0.1197,0.1943,4607,0.1571,0.1122,0.2021,5032,0.1396,0.0977,0.1816,3708,0.1515,0.1134,0.1897,3441,0.1774,0.1282,0.2266,3905,0.1546,0.1176,0.1916
202609161112,2026-09-16,11,12R,3961,0.159,0.1189,0.199,4540,0.134,0.0903,0.1776,4124,0.1692,0.1282,0.2102,4947,0.1717,0.1273,0.2161,4111,0.1501,0.1076,0.1925,4957,0.1688,0.1253,0.2123
202609161201,2026-09-16,12,01R,4047,0.1883,0.1479,0.2288,4836,0.1838,0.1309,0.2368,4875,0.1537,0.1124,0.195,4404,0.2032,0.1601,0.2462,3471,0.1695,0.1244,0.2146,3630,0.1721,0.1295,0.2147
